七宝浮圖塔 高峰頂上安 眾人皆仰望 莫作等閑看
月被浮雲翳 立事自昏迷 幸乞陰公祐 何慮不開眉
愁惱損忠良 青宵一炷香 雖然防小過 閑慮覺時長
累有興雲志 君恩祿未封 若逢侯手印 好事始總總
家道未能昌 危々保禍殃 暗雲侵月桂 佳人一炷香
宅墓鬼凶多 人事有爻訛 傷財防損失 祈福始中和
登舟待便風 月色暗朦朧 欲輾香輪去 高山千万重
勿頭中見尾 文華須得理 禾刀自偶然 当遇非常喜
有名須得遇 三望一朝遷 貴人来指処 華果応時鮮
舊用多成破 新更始見財 改求雲外望 枯木遭春開
有禄興家業 文華達帝都 雲中乗好箭 兼得貴人扶
楊柳遇春時 残花発旧枝 重霜雪裡々 黄金色更輝
手把大陽輝 東君發舊枝 稼苗方欲秀 猶更上雲梯
玉石未分時 憂心轉更悲 前途通大道 花發應殘枝
年乖數亦孤 久病未能蘇 岸危舟未發 龍臥失明珠
破改重成望 前途喜亦寧 貴人相助處 祿馬照前程
怪異防憂惱 人宅見分離 惜華還值雨 杯酒惹閑非
離暗出明時 麻衣變綠衣 舊憂終是退 遇祿應交輝
家道生荊棘 兒孫防虎威 香前祈福厚 方得免分離
月出漸分明 家財每每興 何言先有滯 更變立功名
洗出經年否 光華得再清 所求終吉利 重日照前程
漸漸濃雲散 看看月再明 逢春華菓秀 雨過竹重青
紅雲隨步起 一箭中青霄 鹿行千里遠 爭知去路遙
三女莫相逢 盟言說未通 門裡心肝掛 縞素子重重
枯木逢春生 前途必利亨 亦得佳人箭 乘車祿自行
將軍有異聲 進兵萬里程 爭知臨敵處 道勝却虛名
望祿應重山 花紅喜悅顏 舉頭看皎月 漸出黑雲間
意速無船渡 波深必誤身 切須回舊路 方可免災迍
憂轗漸消融 求名得再通 寶財臨祿位 當遇主人公
仙鶴立高枝 防他暗箭虧 井畔剛刀利 戶內更防危
鯤鯨未變時 且守碧潭溪 風雲興巨浪 一息過天涯
似玉藏深石 休將故眼看 一朝良匠別 方見寶光寒
枯木逢春艷 芳菲再發林 雲間方見月 前遇貴人欽
臘木春將至 芳菲喜再新 鯤鯨興巨浪 舉鉤祿為真
射鹿須乘箭 故僧引路歸 遇道同仙籍 光華映晚暉
先損後有益 如月之剝蝕 玉兔待重生 光華當滿室
陰靉未能通 求名亦未逢 幸然須有變 一箭中雙鴻
月照天書靜 雲生霧彩霞 久想離庭客 無事惹咨嗟
望用方心腹 家鄉被火災 憂危三五度 由損斷頭財
中正方成道 姦邪恐惹愆 壺中盛妙藥 非久去煩煎
有物不周旋 須防損半邊 家鄉煙火裡 祈福始安然
桂華春將到 雲天好進程 貴人相遇處 暗月再分明
月桂將相滿 追鹿映山溪 貴人乘遠箭 好事始相宜
盤中黑白子 一著要先機 天龍降甘澤 喜出舊根基
有意興高顯 祿馬引前程 得遇雲中箭 芝蘭滿路生
雷發震天昏 佳人獨掩門 交加文書上 無事也遭迍
更望身前立 何期在晚成 若遇重山去 財祿自相迎
見祿隔前溪 勞心休更迷 一朝逢好渡 鸞鳳入雲飛
正好中秋月 蟾蜍皎潔間 暗雲知何處 故故兩相攀
有達宜更變 重山利政逢 前途相偶合 財祿保亨通
修進甚功辛 勞生未得時 騰身遊碧漢 方得遇高枝
有僭須惹訟 兼有事交加 門裡防人危 災臨莫嘆嗟
久困漸能安 雲書降印權 殘花終結實 時亨祿自遷
身同意不同 月蝕暗長空 輪雖常在手 魚水未相逢
雲散月重明 天書得誌誠 雖然多阻滯 花發再重榮]
生涯喜又憂 未老先白頭 勞心千百度 芳遇貴人留
欲渡長江闊 波深未自儔 前津逢浪靜 重整鉤鰲鉤
有徑江海隔 車行峻嶺危 亦防多進退 猶恐小人虧
去住心無定 行藏亦未寧 一輪清皎潔 却被黑雲乘
高危安可涉 平坦是延年 守道當逢泰 風雲不偶然
舊愆何日解 戶內保嬋娟 要逢十一口 遇鼠過牛邊
災轗時時退 名顯四方揚 改故重乘祿 昴高福自昌
何故生荊棘 佳人意漸疏 久困重輪下 黃金未出渠
安居且慮危 情深主別離 風飄波浪急 鴛鴦各自飛
苦病兼防辱 乘危亦未穌 若見一陽後 方可作良圖
水滯少波濤 飛鴻落羽毛 重憂心緒亂 閑事惹風騷
枯木未生枝 獨步上雲岐 豈知身未穩 獨自惹閑非
異夢生英傑 前來事可疑 芳菲春日暖 依舊發殘枝
明月暗雲浮 花紅一半枯 惹事傷心處 行舟莫遠圖
雷發庭前草 炎火向天飛 一心來趕祿 爭奈掩朱扉
道業未成時 何期兩不宜 事煩心緒亂 飜做徘徊思
戶內防重厄 花菓見分枝 嚴霜纔過後 方可始相宜
久暗漸分明 登江綠水澄 芝書從遠降 終得異人成
蛇虎正交羅 牛生二尾多 交歲方成慶 上下不能和
孤舟欲過岸 浪急渡人空 女人立流水 望月意情濃
富貴天之祐 何須苦用心 前程應顯跡 久用得高臨
累滯未能穌 求名莫遠圖 登舟波浪急 咫尺隔天衢
但存公道正 何愁理去忠 松柏蒼蒼翠 前山祿馬重
殘月未還光 樽前非語傷 戶中有人厄 祈福保青陽
深山多養道 忠正帝王宣 鳳遂鸞飛去 昇高過九天
道合須成合 先憂事更多 所求財寶盛 更變得中和
火發應連天 新愁惹舊愆 欲求千里外 要渡更無船
舉步出雲端 高枝未可攀 昇頭看皎月 猶在黑雲間
否極方無泰 花開值晚秋 人情不調備 財寶鬼來偷
望用何愁晚 求名漸得寧 雲梯終有望 歸路入蓬瀛
花發應陽臺 車行進寶財 執文朝帝殿 走馬聽聲雷
鑿石方逢玉 淘沙始見金 青霄終有路 只恐不堅心
作事不和同 臨危更主凶 佳人生苦根 閑慮兩三重
一片無瑕玉 從今好琢磨 得遇高人識 方逢喜氣多
一信向天飛 秦川舟自歸 前途成好事 應得貴人推
